
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[7700/50000] phase=A total=0.0028 ema=0.0031 recon=0.0028 align=0.0002 v0=0.0031 v1=0.0029 v2=0.0020 visible=0.0026 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[7800/50000] phase=A total=0.0024 ema=0.0030 recon=0.0023 align=0.0014 v0=0.0018 v1=0.0024 v2=0.0015 visible=0.0018 cross=0.0004 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[7900/50000] phase=A total=0.0035 ema=0.0031 recon=0.0031 align=0.0035 v0=0.0028 v1=0.0031 v2=0.0017 visible=0.0023 cross=0.0006 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[8000/50000] phase=A total=0.0030 ema=0.0030 recon=0.0028 align=0.0017 v0=0.0029 v1=0.0023 v2=0.0019 visible=0.0021 cross=0.0005 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[8100/50000] phase=A total=0.0020 ema=0.0028 recon=0.0020 align=0.0000 v0=0.0017 v1=0.0023 v2=0.0019 visible=0.0020 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[8200/50000] phase=A total=0.0028 ema=0.0028 recon=0.0028 align=0.0005 v0=0.0034 v1=0.0024 v2=0.0018 visible=0.0025 cross=0.0003 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[8300/50000] phase=A total=0.0020 ema=0.0028 recon=0.0020 align=0.0000 v0=0.0023 v1=0.0023 v2=0.0015 visible=0.0020 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[8400/50000] phase=A total=0.0023 ema=0.0029 recon=0.0022 align=0.0012 v0=0.0027 v1=0.0020 v2=0.0014 visible=0.0019 cross=0.0002 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[8500/50000] phase=A total=0.0051 ema=0.0030 recon=0.0047 align=0.0037 v0=0.0057 v1=0.0032 v2=0.0024 visible=0.0033 cross=0.0011 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[8600/50000] phase=A total=0.0029 ema=0.0029 recon=0.0028 align=0.0012 v0=0.0021 v1=0.0031 v2=0.0021 visible=0.0023 cross=0.0004 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[8700/50000] phase=A total=0.0023 ema=0.0028 recon=0.0022 align=0.0014 v0=0.0024 v1=0.0018 v2=0.0013 visible=0.0017 cross=0.0004 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
